iter	RMSE
0	13.16254412
1	12.40792764
2	11.69514833
3	11.18570468
4	10.67476775
5	10.11179075
6	9.63248882
7	9.108399905
8	8.784502761
9	8.297866402
10	7.956070155
11	7.554244488
12	7.179937049
13	6.899235711
14	6.586862084
15	6.319272623
16	6.079919326
17	5.790791296
18	5.602683999
19	5.395431784
20	5.131440606
21	4.882746067
22	4.669623479
23	4.531624594
24	4.33262944
25	4.219946278
26	4.09894954
27	4.000491529
28	3.853368421
29	3.753301461
30	3.645292092
31	3.523294277
32	3.457522401
33	3.33978255
34	3.250506302
35	3.171537402
36	3.075464599
37	3.010147433
38	2.938272451
39	2.888030241
